timestamp,open,high,low,close,volume
2000-01-04,2.35,2.5,2.35,2.5,798000.0
2000-01-05,2.45,2.45,2.35,2.375,1409000.0
2000-01-06,2.35,2.425,2.3,2.375,2223000.0
2000-01-07,2.375,2.475,2.375,2.45,207000.0
2000-01-10,2.6,2.6,2.475,2.55,548000.0
2000-01-11,2.4,2.5,2.4,2.5,472000.0
2000-01-12,2.4,2.4,2.325,2.325,110000.0
2000-01-13,2.4,2.4,2.325,2.325,166000.0
2000-01-14,2.35,2.375,2.35,2.375,135000.0
2000-01-17,2.3,2.45,2.3,2.45,482000.0
2000-01-18,2.35,2.35,2.35,2.35,50000.0
2000-01-19,2.475,2.55,2.475,2.525,1875000.0
2000-01-20,2.5,2.7,2.5,2.55,2146000.0
2000-01-21,2.5,2.6,2.5,2.525,676000.0
2000-01-24,2.525,2.55,2.4,2.45,211000.0
2000-01-25,2.45,2.55,2.45,2.525,433000.0
2000-01-26,2.525,2.6,2.5,2.6,490000.0
2000-01-27,2.525,2.525,2.5,2.5,140000.0
2000-01-28,2.6,2.6,2.5,2.5,229000.0
2000-01-31,2.5,2.5,2.45,2.5,316000.0
2000-02-01,2.5,2.5,2.35,2.45,554000.0
2000-02-02,2.35,2.4,2.3,2.4,324000.0
2000-02-03,2.35,2.4,2.35,2.4,134000.0
2000-02-04,2.4,2.4,2.4,2.4,0.0
2000-02-07,2.4,2.4,2.4,2.4,0.0
2000-02-08,2.4,2.45,2.4,2.45,407500.0
2000-02-09,2.35,2.35,2.275,2.275,350000.0
2000-02-10,2.275,2.275,2.025,2.025,958000.0
2000-02-11,2.05,2.05,1.98,2.025,628000.0
2000-02-14,2.0,2.025,2.0,2.025,210000.0
2000-02-15,2.0,2.0,1.77,1.77,540000.0
2000-02-16,1.83,2.05,1.79,1.81,1392000.0
2000-02-17,1.81,1.91,1.79,1.87,408000.0
2000-02-18,1.95,2.25,1.95,2.225,892000.0
2000-02-21,2.2,2.2,2.0,2.0,610000.0
2000-02-22,1.96,1.99,1.7,1.99,368000.0
2000-02-23,2.0,2.0,1.84,1.84,38000.0
2000-02-24,1.9,1.95,1.9,1.94,680800.0
2000-02-25,1.9,1.9,1.9,1.9,254000.0
2000-02-28,1.9,1.9,1.8,1.88,96000.0
2000-02-29,1.88,1.92,1.88,1.9,180000.0
2000-03-01,1.9,1.9,1.8,1.8,230000.0
2000-03-02,1.8,1.85,1.79,1.85,135867.0
2000-03-03,1.81,1.87,1.81,1.87,90000.0
2000-03-06,1.85,1.85,1.83,1.83,524000.0
2000-03-07,1.83,1.93,1.83,1.93,170000.0
2000-03-08,1.93,1.93,1.9,1.9,32000.0
2000-03-09,1.9,1.9,1.86,1.89,368000.0
2000-03-10,1.89,1.89,1.89,1.89,0.0
2000-03-13,1.86,1.86,1.8,1.8,120000.0
2000-03-14,1.85,1.85,1.75,1.75,310000.0
2000-03-15,1.71,1.76,1.71,1.75,265000.0
2000-03-16,1.75,1.8,1.75,1.75,139000.0
2000-03-17,1.7,1.8,1.7,1.77,122000.0
2000-03-20,1.8,1.8,1.75,1.75,246000.0
2000-03-21,1.7,1.7,1.62,1.63,322000.0
2000-03-22,1.6,1.62,1.6,1.6,304000.0
2000-03-23,1.56,1.56,1.44,1.45,900000.0
2000-03-24,1.45,1.52,1.45,1.5,400000.0
2000-03-27,1.5,1.54,1.5,1.52,392000.0
2000-03-28,1.48,1.63,1.48,1.61,288000.0
2000-03-29,1.6,1.61,1.57,1.57,794000.0
2000-03-30,1.56,1.59,1.56,1.57,270000.0
2000-03-31,1.57,1.58,1.53,1.58,404000.0
2000-04-03,1.58,1.58,1.43,1.43,374000.0
2000-04-04,1.43,1.43,1.43,1.43,0.0
2000-04-05,1.39,1.39,1.32,1.34,1408000.0
2000-04-06,1.36,1.36,1.31,1.31,858000.0
2000-04-07,1.34,1.35,1.25,1.25,1242000.0
2000-04-10,1.25,1.27,1.15,1.16,1348000.0
2000-04-11,1.17,1.25,1.16,1.19,1813000.0
2000-04-12,1.23,1.33,1.23,1.26,3074000.0
2000-04-13,1.24,1.27,1.19,1.21,2423000.0
2000-04-14,1.21,1.23,1.14,1.18,3935000.0
2000-04-17,1.18,1.18,1.05,1.07,2880000.0
2000-04-18,1.13,1.34,1.1,1.34,11106000.0
2000-04-19,1.41,1.5,1.23,1.23,8398000.0
2000-04-20,1.22,1.27,1.18,1.22,5462000.0
2000-04-21,1.22,1.22,1.22,1.22,0.0
2000-04-24,1.22,1.22,1.22,1.22,0.0
2000-04-25,1.22,1.26,1.22,1.25,5903000.0
2000-04-26,1.27,1.31,1.22,1.22,7590000.0
2000-04-27,1.25,1.26,1.22,1.23,2962000.0
2000-04-28,1.24,1.24,1.21,1.22,3098000.0
2000-05-01,1.22,1.22,1.22,1.22,0.0
2000-05-02,1.22,1.23,1.16,1.22,3314000.0
2000-05-03,1.2,1.23,1.2,1.2,1063000.0
2000-05-04,1.2,1.23,1.19,1.22,1688000.0
2000-05-05,1.23,1.24,1.21,1.22,1210000.0
2000-05-08,1.22,1.23,1.19,1.2,1596000.0
2000-05-09,1.2,1.2,1.2,1.2,0.0
2000-05-10,1.21,1.21,1.21,1.21,1030000.0
2000-05-11,1.21,1.21,1.21,1.21,0.0
2000-05-12,1.21,1.25,1.2,1.24,2049000.0
2000-05-15,1.27,1.34,1.25,1.32,4346000.0
2000-05-16,1.36,1.4,1.35,1.38,4790000.0
2000-05-17,1.42,1.42,1.35,1.36,2182000.0
2000-05-18,1.34,1.34,1.32,1.33,1140000.0
2000-05-19,1.36,1.36,1.34,1.34,582000.0
2000-05-22,1.35,1.35,1.31,1.32,630000.0
2000-05-23,1.31,1.35,1.26,1.32,1030000.0
2000-05-24,1.27,1.32,1.27,1.29,1344000.0
2000-05-25,1.2,1.2,1.13,1.13,1088000.0
2000-05-26,1.14,1.15,1.09,1.15,534000.0
2000-05-29,1.16,1.16,1.13,1.13,332000.0
2000-05-30,1.13,1.13,1.13,1.13,0.0
2000-05-31,1.11,1.13,1.08,1.08,1162000.0
2000-06-01,1.1,1.17,1.1,1.17,838000.0
2000-06-02,1.21,1.23,1.18,1.22,1970800.0
2000-06-05,1.25,1.28,1.22,1.25,2524000.0
2000-06-06,1.25,1.25,1.25,1.25,0.0
2000-06-07,1.25,1.28,1.25,1.26,1098000.0
2000-06-08,1.24,1.25,1.21,1.22,780000.0
2000-06-09,1.25,1.3,1.24,1.3,1408000.0
2000-06-12,1.31,1.36,1.3,1.35,864000.0
2000-06-13,1.35,1.36,1.33,1.35,1524000.0
2000-06-14,1.35,1.38,1.31,1.34,2028000.0
2000-06-15,1.37,1.38,1.36,1.38,729000.0
2000-06-16,1.38,1.42,1.36,1.4,3658000.0
2000-06-19,1.4,1.41,1.4,1.41,1008000.0
2000-06-20,1.41,1.41,1.33,1.37,2678000.0
2000-06-21,1.36,1.42,1.36,1.41,818000.0
2000-06-22,1.4,1.42,1.4,1.42,798000.0
2000-06-23,1.42,1.42,1.39,1.41,704000.0
2000-06-26,1.4,1.41,1.33,1.4,756000.0
2000-06-27,1.36,1.4,1.36,1.4,130000.0
2000-06-28,1.4,1.41,1.4,1.41,1296000.0
2000-06-29,1.4,1.46,1.4,1.41,376000.0
2000-06-30,1.4,1.43,1.4,1.42,768000.0
2000-07-03,1.42,1.42,1.4,1.41,64000.0
2000-07-04,1.4,1.41,1.38,1.39,274000.0
2000-07-05,1.33,1.39,1.33,1.37,212000.0
2000-07-06,1.35,1.35,1.33,1.33,269000.0
2000-07-07,1.33,1.35,1.33,1.33,256000.0
2000-07-10,1.34,1.36,1.34,1.35,456000.0
2000-07-11,1.35,1.45,1.35,1.39,1698000.0
2000-07-12,1.42,1.45,1.42,1.45,566000.0
2000-07-13,1.45,1.49,1.44,1.46,1416000.0
2000-07-14,1.45,1.48,1.44,1.47,879700.0
2000-07-17,1.47,1.52,1.47,1.49,552000.0
2000-07-18,1.43,1.48,1.43,1.45,391000.0
2000-07-19,1.43,1.48,1.43,1.45,391000.0
2000-07-20,1.5,1.64,1.5,1.64,1948000.0
2000-07-21,1.64,1.94,1.64,1.84,9426000.0
2000-07-24,1.83,2.075,1.81,1.88,6736200.0
2000-07-25,1.91,1.92,1.8,1.81,1478000.0
2000-07-26,1.81,1.97,1.81,1.84,3188000.0
2000-07-27,1.8,1.86,1.8,1.85,1110000.0
2000-07-28,1.84,1.84,1.79,1.81,1530000.0
2000-07-31,1.76,1.86,1.7,1.84,1368000.0
2000-08-01,1.85,1.9,1.83,1.89,977000.0
2000-08-02,1.88,2.1,1.88,2.1,6560000.0
2000-08-03,2.025,2.1,1.98,2.075,1622000.0
2000-08-04,2.0,2.075,2.0,2.0,578000.0
2000-08-07,2.0,2.05,1.93,1.96,1426000.0
2000-08-08,1.99,2.2,1.96,2.175,5304000.0
2000-08-09,2.175,2.175,2.0,2.075,1336000.0
2000-08-10,2.075,2.25,2.075,2.1,2016000.0
2000-08-11,2.025,2.125,2.025,2.075,1260000.0
2000-08-14,2.15,2.15,2.0,2.075,1086000.0
2000-08-15,2.15,2.15,2.05,2.1,1314000.0
2000-08-16,2.05,2.2,2.05,2.2,692000.0
2000-08-17,2.1,2.15,2.075,2.1,440000.0
2000-08-18,2.15,2.2,2.1,2.175,1580000.0
2000-08-21,2.175,2.175,2.125,2.125,612000.0
2000-08-22,2.15,2.35,2.125,2.275,3122000.0
2000-08-23,2.3,2.425,2.2,2.25,1722000.0
2000-08-24,2.25,2.325,2.15,2.15,2230000.0
2000-08-25,2.15,2.15,2.05,2.05,1320000.0
2000-08-28,2.05,2.125,2.025,2.1,470000.0
2000-08-29,2.325,2.4,2.2,2.35,3242000.0
2000-08-30,2.35,2.4,2.25,2.25,2661000.0
2000-08-31,2.25,2.275,2.175,2.25,1732000.0
2000-09-01,2.25,2.275,2.225,2.275,952000.0
2000-09-04,2.3,2.6,2.3,2.5,2718000.0
2000-09-05,2.5,2.5,2.45,2.475,896000.0
2000-09-06,2.475,2.475,2.4,2.45,1474000.0
2000-09-07,2.475,2.475,2.4,2.45,758000.0
2000-09-08,2.45,2.45,2.4,2.425,1068000.0
2000-09-11,2.425,2.425,2.375,2.425,2472000.0
2000-09-12,2.4,2.4,2.275,2.4,2163000.0
2000-09-13,2.4,2.4,2.4,2.4,0.0
2000-09-14,2.4,2.425,2.375,2.4,1714000.0
2000-09-15,2.4,2.4,2.3,2.4,1290000.0
2000-09-18,2.35,2.35,2.275,2.325,996000.0
2000-09-19,2.3,2.3,2.2,2.3,770000.0
2000-09-20,2.325,2.325,2.175,2.25,881000.0
2000-09-21,2.2,2.225,2.15,2.15,1720000.0
2000-09-22,2.15,2.225,2.15,2.225,798000.0
2000-09-25,2.3,2.4,2.25,2.25,321000.0
2000-09-26,2.275,2.325,2.275,2.3,253000.0
2000-09-27,2.2,2.3,2.2,2.225,48000.0
2000-09-28,2.2,2.2,2.15,2.15,432000.0
2000-09-29,2.15,2.45,2.15,2.35,1421000.0
2000-10-02,2.35,2.35,2.35,2.35,0.0
2000-10-03,2.35,2.35,2.275,2.275,91000.0
2000-10-04,2.275,2.275,2.275,2.275,29000.0
2000-10-05,2.175,2.2,2.175,2.2,144000.0
2000-10-06,2.2,2.2,2.2,2.2,0.0
2000-10-09,2.2,2.3,2.2,2.3,166000.0
2000-10-10,2.25,2.25,2.2,2.2,356000.0
2000-10-11,2.25,2.25,2.15,2.15,160000.0
2000-10-12,2.125,2.2,2.125,2.2,736000.0
2000-10-13,2.15,2.15,2.075,2.075,623000.0
2000-10-16,2.075,2.075,2.075,2.075,0.0
2000-10-17,2.15,2.15,2.125,2.125,98000.0
2000-10-18,2.125,2.125,1.96,1.96,582000.0
2000-10-19,1.95,1.95,1.9,1.9,546000.0
2000-10-20,1.9,1.9,1.9,1.9,152000.0
2000-10-23,1.86,1.95,1.85,1.86,212000.0
2000-10-24,1.86,1.9,1.85,1.85,209000.0
2000-10-25,1.9,1.95,1.9,1.95,219467.0
2000-10-26,1.86,1.95,1.86,1.9,18000.0
2000-10-27,1.9,1.9,1.9,1.9,0.0
2000-10-30,1.85,1.92,1.85,1.92,110000.0
2000-10-31,1.92,1.92,1.83,1.92,619533.0
