timestamp,MSFT_-ve,MSFT_+ve,MSFT_open,MSFT_high,MSFT_low,MSFT_close,MSFT_volume,0168.HK_open,0168.HK_high,0168.HK_low,0168.HK_close,0168.HK_volume,601288.SS_open,601288.SS_high,601288.SS_low,601288.SS_close,601288.SS_volume,GLD_open,GLD_high,GLD_low,GLD_close,GLD_volume,GOOGL_open,GOOGL_high,GOOGL_low,GOOGL_close,GOOGL_volume,SPX_open,SPX_high,SPX_low,SPX_close,SPX_volume,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_volume,IBM_open,IBM_high,IBM_low,IBM_close,IBM_volume,6501.T_open,6501.T_high,6501.T_low,6501.T_close,6501.T_volume,6758.T_open,6758.T_high,6758.T_low,6758.T_close,6758.T_volume
2010-07-15,1,S__0,25.5,25.59,24.98,25.51,56934700.0,36.9,37.2,36.0,36.15,828393.0,2.74,2.74,2.69,2.69,4039725100.0,118.59,118.7,117.73,118.23,8586363.0,491.73,494.7,482.68,494.02,9706600.0,1094.46,1098.66,1080.53,1096.48,4552470000.0,248.23,256.97,247.3,251.45,29459500.0,129.87,130.92,129.55,130.72,6186800.0,1755.0,1765.0,1740.0,1750.0,5516400.0,2561.0,2565.0,2512.0,2530.0,5731100.0
2010-07-16,1,S__1,25.51,25.64,24.88,24.89,65064800.0,36.4,36.5,36.0,36.15,1472313.0,2.7,2.7,2.68,2.69,1378955100.0,116.69,116.79,115.95,116.67,17493011.0,469.12,470.56,459.52,459.605,15633900.0,1093.85,1093.85,1063.3199,1064.88,5297350000.0,253.18,254.97,248.41,249.9,37137800.0,129.96,130.15,127.85,128.03,7002900.0,1725.0,1740.0,1700.0,1715.0,5715800.0,2501.0,2517.0,2392.0,2404.0,12029400.0
2010-07-21,1,S__1,25.6,25.65,24.975,25.12,73297300.0,35.95,36.15,35.6,35.9,1418640.0,2.7,2.71,2.69,2.71,622094317.0,116.8,117.0,115.71,115.85,9396016.0,484.0,485.7,475.4301,477.5,6552600.0,1086.67,1088.96,1065.25,1069.59,4747180000.0,265.09,265.15,254.0,254.24,42345400.0,126.44,126.5,124.62,125.27,8615500.0,1695.0,1705.0,1650.0,1660.0,5818600.0,2375.0,2383.0,2326.0,2347.0,5797400.0
2010-07-22,0,S__0,25.51,25.99,25.47,25.84,73016400.0,35.8,36.3,35.6,36.0,1031230.0,2.7,2.75,2.69,2.73,1065122571.0,115.95,117.5,115.91,116.863,8159175.0,483.23,488.98,482.48,484.81,4291100.0,1072.14,1097.5,1072.14,1093.67,4826900000.0,257.68,260.0,255.31,259.024,23047100.0,126.32,127.78,126.05,127.47,6909000.0,1640.0,1650.0,1615.0,1635.0,5525000.0,2311.0,2404.0,2311.0,2398.0,10000600.0
2010-07-23,0,S__0,25.84,26.02,25.25,25.81,108520100.0,36.5,36.75,36.25,36.7,1850388.0,2.73,2.84,2.73,2.81,719041122.0,117.12,117.47,115.79,116.09,8336529.0,480.77,490.59,480.01,490.06,4524200.0,1092.17,1103.73,1087.88,1102.66,4524570000.0,257.09,260.38,256.28,259.94,19049600.0,127.3,128.8,127.0,128.38,5078000.0,1640.0,1705.0,1615.0,1700.0,7409200.0,2455.0,2515.0,2448.0,2513.0,11603400.0
2010-07-26,1,S__2,25.86,26.2,25.8,26.1,67249900.0,36.7,37.2,36.5,36.85,805434.0,2.83,2.84,2.77,2.8,704693876.0,116.38,116.47,115.3,115.52,11213045.0,489.09,490.749,484.88,488.97,3986400.0,1102.89,1115.01,1101.3,1115.01,4009650000.0,260.0,260.0998,257.71,259.28,15019700.0,128.18,128.43,127.14,128.41,5174900.0,1720.0,1735.0,1715.0,1720.0,5017200.0,2548.0,2555.0,2508.0,2512.0,7649400.0
2010-07-27,0,S__1,26.14,26.24,25.96,26.16,60672100.0,36.85,37.1,36.6,36.85,1132423.0,2.79,2.8,2.77,2.78,384483985.0,114.95,114.99,113.21,113.51,29523426.0,490.575,497.5,490.17,492.63,4897400.0,1117.36,1120.95,1109.78,1113.84,4725690000.0,260.87,264.8,260.3,264.08,20884700.0,128.78,129.17,127.89,128.63,4648200.0,1715.0,1745.0,1705.0,1710.0,4721000.0,2513.0,2554.0,2492.0,2539.0,6561700.0
2010-07-28,0,S__1,26.07,26.19,25.83,25.95,69704800.0,36.75,37.5,36.75,37.35,787200.0,2.78,2.85,2.78,2.84,796917138.0,113.48,113.93,113.08,113.78,16071445.0,494.94,495.25,482.67,484.35,4987000.0,1112.84,1114.66,1103.11,1106.13,4002390000.0,263.67,265.99,260.25,260.96,18570900.0,128.67,129.35,127.88,128.43,4248800.0,1745.0,1775.0,1730.0,1775.0,5535400.0,2603.0,2623.0,2591.0,2608.0,7820300.0
2010-07-29,0,S__2,26.13,26.41,25.6,26.03,69446200.0,36.95,37.05,36.35,36.7,1143576.0,2.84,2.88,2.81,2.83,894588395.0,113.54,114.35,113.34,114.288,9476248.0,485.95,488.88,479.33,484.99,5345600.0,1108.0699,1115.9,1092.8199,1101.53,4612420000.0,260.71,262.65,256.1,258.11,22993100.0,129.06,129.5,127.14,128.02,8994200.0,1760.0,1800.0,1755.0,1795.0,7115000.0,2582.0,2627.0,2577.0,2611.0,4550600.0
2010-07-30,1,S__0,25.75,25.84,25.35,25.81,83534800.0,36.85,37.0,36.55,36.8,770758.0,2.82,2.82,2.77,2.79,510624557.0,114.36,115.73,114.08,115.49,10093137.0,479.65,487.36,479.14,484.85,4283900.0,1098.4399,1106.4399,1088.01,1101.6,4006450000.0,255.8925,259.7,254.9,257.25,16007500.0,127.43,128.98,127.04,128.4,6021000.0,1790.0,1795.0,1745.0,1760.0,7660000.0,2733.0,2745.0,2675.0,2705.0,17670900.0
