MSFT_open,MSFT_high,MSFT_low,MSFT_close,MSFT_-ve,MSFT_+ve___S__0,MSFT_+ve___S__1,MSFT_+ve___S__2,MSFT_open___diff1
27.04,27.07,26.84,26.86,1,1,0,0,-0.08999999999999986
26.76,26.82,24.86,26.65,0,0,1,0,-0.2799999999999976
26.52,26.7,26.4,26.53,1,0,1,0,-0.240000000000002
26.62,26.73,26.4,26.64,1,0,0,1,0.10000000000000142
26.57,26.82,26.55,26.6,1,0,1,0,-0.05000000000000071
26.635,26.95,26.61,26.77,0,0,0,1,0.06500000000000128
26.76,27.01,26.7,26.81,1,1,0,0,0.125
26.95,27.28,26.81,27.25,1,0,1,0,0.18999999999999773
27.27,27.4,26.92,27.09,1,1,0,0,0.3200000000000003
27.16,27.44,27.14,27.23,0,1,0,0,-0.10999999999999943
27.1,27.44,27.07,27.33,0,0,0,1,-0.05999999999999872
27.26,27.38,27.0,27.07,0,0,0,1,0.16000000000000014
27.01,27.36,26.91,27.36,1,0,0,1,-0.25
27.12,27.36,26.94,27.23,0,1,0,0,0.10999999999999943
27.08,27.18,27.04,27.08,0,0,1,0,-0.0400000000000027
27.1,27.28,26.91,27.25,1,0,1,0,0.020000000000003126
27.05,27.33,27.04,27.23,0,0,1,0,-0.05000000000000071
27.22,27.4,27.07,27.11,0,1,0,0,0.16999999999999815
27.145,27.28,27.01,27.16,0,1,0,0,-0.07499999999999929
27.0,27.32,26.7951,26.96,1,0,1,0,-0.14499999999999957
27.02,27.15,26.89,26.95,0,0,0,1,0.019999999999999574
27.0,27.17,26.94,27.07,1,0,0,1,-0.019999999999999574
26.83,27.15,26.78,26.97,1,0,0,1,-0.1700000000000017
26.86,27.15,26.83,27.01,1,0,1,0,0.030000000000001137
27.02,27.1,26.82,26.85,0,1,0,0,0.16000000000000014
26.84,27.03,26.8,26.95,0,1,0,0,-0.17999999999999972
26.85,27.0,26.82,26.9,1,0,1,0,0.010000000000001563
26.89,26.94,26.749,26.76,1,0,1,0,0.03999999999999915
26.75,26.9,26.679,26.72,1,0,0,1,-0.14000000000000057
26.8,26.95,26.649,26.74,1,0,1,0,0.05000000000000071
26.86,27.1,26.66,26.84,0,1,0,0,0.05999999999999872
26.84,27.1,26.76,26.78,0,0,0,1,-0.019999999999999574
26.86,27.06,26.6399,26.75,0,1,0,0,0.019999999999999574
26.83,26.89,26.62,26.67,0,0,0,1,-0.030000000000001137
26.6,26.86,26.54,26.8,1,1,0,0,-0.22999999999999687
26.69,26.82,26.61,26.73,0,0,1,0,0.08999999999999986
26.77,26.85,26.62,26.78,0,0,1,0,0.0799999999999983
26.69,26.8,26.16,26.27,1,0,0,1,-0.0799999999999983
26.4,26.45,26.04,26.12,1,0,0,1,-0.2900000000000027
26.03,26.35,25.84,26.32,1,0,1,0,-0.36999999999999744
26.2,26.26,25.9199,25.98,0,0,0,1,0.16999999999999815
25.835,26.1,25.74,25.86,1,1,0,0,-0.36499999999999844
25.94,26.13,25.64,25.65,1,1,0,0,0.10500000000000043
25.77,26.0,25.64,25.67,1,1,0,0,-0.1700000000000017
25.76,26.19,25.75,26.02,1,1,0,0,-0.00999999999999801
26.08,26.17,25.9,26.01,1,0,0,1,0.31999999999999673
25.95,26.16,25.85,26.11,0,0,1,0,-0.129999999999999
26.54,26.65,25.9599,26.18,1,0,1,0,0.5899999999999999
26.35,26.52,26.16,26.28,0,0,0,1,-0.18999999999999773
26.25,26.43,26.22,26.39,1,1,0,0,-0.10000000000000142
26.42,26.5,26.2799,26.46,0,0,1,0,0.1700000000000017
26.37,26.4,26.1,26.18,1,0,1,0,-0.05000000000000071
26.18,26.37,26.1399,26.32,0,0,0,1,-0.19000000000000128
26.27,26.3,26.06,26.16,1,0,0,1,0.08999999999999986
26.19,26.34,26.16,26.24,1,0,1,0,-0.0799999999999983
26.0118,26.12,25.91,26.01,0,1,0,0,-0.17820000000000036
26.0,26.08,25.86,25.93,0,1,0,0,-0.01180000000000092
25.87,25.93,25.67,25.79,0,0,1,0,-0.129999999999999
25.71,25.86,25.6,25.65,0,1,0,0,-0.16000000000000014
25.64,25.65,25.4,25.48,1,1,0,0,-0.07000000000000028
25.24,25.49,25.2,25.23,1,1,0,0,-0.40000000000000213
25.24,25.35,25.17,25.2,1,0,0,1,0.0
25.18,25.4401,25.15,25.37,0,0,0,1,-0.05999999999999872
25.35,25.38,25.15,25.25,1,0,1,0,0.1700000000000017
25.22,25.37,25.1296,25.16,1,1,0,0,-0.13000000000000256
25.2,25.41,25.13,25.28,1,0,0,1,-0.019999999999999574
25.19,25.48,25.16,25.26,1,1,0,0,-0.00999999999999801
25.3,25.31,25.14,25.17,0,0,0,1,0.10999999999999943
25.21,25.3,25.13,25.17,0,0,0,1,-0.08999999999999986
25.17,25.79,25.16,25.47,0,0,1,0,-0.03999999999999915
25.4,25.6202,25.34,25.4,1,0,1,0,0.22999999999999687
25.39,25.57,25.28,25.31,1,1,0,0,-0.00999999999999801
25.43,25.48,25.25,25.43,1,0,1,0,0.03999999999999915
25.45,25.4802,25.06,25.09,0,0,0,1,0.019999999999999574
25.08,25.15,24.96,25.11,0,0,1,0,-0.370000000000001
25.1,25.24,24.8899,24.91,0,0,0,1,0.020000000000003126
24.82,24.97,24.56,24.63,1,1,0,0,-0.28000000000000114
24.64,24.68,24.53,24.54,1,0,0,1,-0.17999999999999972
24.53,24.91,24.28,24.31,0,0,1,0,-0.10999999999999943
24.35,24.36,24.15,24.2,1,0,0,1,-0.17999999999999972
