REPORT_DATE,CONTRACT_VALUE,FUNDING_LEVEL,COMPLEXITY_LEVEL,BAC,BCWS,BCWP,ETC,EAC,VAC,MR_PCT,CPI,SPI,MCPI,MSPI,TCPI,PCT_COMPLETE,PCT_SPENT_BAC,PCT_SPENT_EAC,ACWP,AUW,MR
5/31/2008,248,13,0,13,0.3,0.3,12.7,13,0,0,1,1,1,1,1,2.3,2.3,2.3,0.3,0,0
6/30/2008,248,13,0,13.1,1.07,1.07,12.03,13.1,0,0,1,1,1,1,1,8.2,8.2,8.2,1.07,0,0
7/31/2008,248,13,0,14.3,4.7,4.7,9.6,14.3,0,0,1,1,1,1,1,32.9,32.9,32.9,4.7,0,0
8/31/2008,248,13,0,21.6,8.9,8.9,12.7,21.6,0,0,1,1,1,1,1,41.2,41.2,41.2,8.9,0,0
9/30/2008,248,13,0,27.77,12.45,12.45,15.32,27.77,0,0,1,1,1,1,1,44.8,44.8,44.8,12.45,0,0
10/31/2008,248,13,0,71.42,18.49,17.86,53.88,71.42,0,0,1.02,0.97,1.06,0.9,0.99,25,24.6,24.6,17.54,0,0
11/30/2008,248,71.42,0,71.42,24.46,24.97,45.54,71.42,0,0,0.96,1.02,0.85,1.19,1.02,35,36.2,36.2,25.88,0,0
12/31/2008,230.4,71.42,0,71.42,31.34,30.81,39.67,71.42,0,0,0.97,0.98,0.99,0.85,1.02,43.1,44.5,44.5,31.75,0,0
1/31/2009,230.4,71.42,0,71.42,36.71,35.7,35.28,71.42,0,37.4,0.99,0.97,1.11,0.91,1.01,50,50.6,50.6,36.14,0,13.18
2/28/2009,230.4,71.57,0,71.57,41.38,40.33,30.08,71.57,0,43.1,0.97,0.97,0.87,0.99,1.04,56.4,58,58,41.49,0,12.95
3/31/2009,230.4,91.07999,0,91.08,44.5,45.68,42.23,91.08,0,30.6,0.94,1.03,0.73,1.71,1.08,50.2,53.6,53.6,48.85,0,12.91
4/30/2009,230.4,91.5,0,91.5,49.3,49.6,41.9,95,-3.5,13.1,0.93,1.01,0.92,0.82,1,54.2,58,55.9,53.1,0,5.5
5/31/2009,231.1,92.5,0,231.3,53.3,54.5,177.1,236.9,-5.6,3.1,0.91,1.02,0.73,1.22,1,23.6,25.9,25.2,59.8,0.2,5.5
6/30/2009,231.1,102.8,0,232.5,58.2,62.2,172.5,240.1,-7.6,4.7,0.92,1.07,0.99,1.57,0.99,26.8,29.1,28.2,67.6,0,8.1
7/31/2009,231.1,102.8,0,224.6,63.9,67.86,158.3,231.52,-6.92,4.9,0.93,1.06,1.01,0.99,0.99,30.2,32.6,31.6,73.22,0,7.67
