time,a,b,c,d,e,f,g,h,i,j,k,m,n,o,p,q,r,s,t
1561939200000,0,0,1,52.77,23.75,49.39,33.72,45.93,41.12,70.08,69.57,77.39,71.5,74.84,26.03,25.45,21.28,0,47.09695633
1561939260000,0,-5781,1,52.66,23.41,49.43,34.24,46.07,40.87,73.61,70.63,77.48,71.89,74.81,26.01,25.46,21.24,0,47.0963166
1561939320000,0,-11562,1.3,52.71,23.82,49.42,33.93,45.71,41.07,71.74,71.89,77.18,72.87,74.81,26.03,25.46,21.22,0,47.09660552
1561939380000,0,1,2,52.6,23.98,49.27,32.88,45.69,41.09,70.81,73.13,77.35,73.08,74.97,25.94,25.35,21.16,0,47.09676819
1561939440000,0,0.5,2.3,52.57,23.94,49.14,31.73,45.9,41.05,74.07,73.66,77.03,72.81,74.82,25.99,25.4,21.22,0,47.09695092
1561939500000,0,0,3,52.54,24.11,49.21,30.68,45.76,41.02,74.67,74.05,77.35,70.7,74.97,25.93,25.41,21.15,0,47.09671745
1561939560000,0,1,3,52.43,23.92,49.15,29.62,45.76,40.93,73.09,73.83,77.32,68.5,74.82,25.95,25.48,21.14,0,47.09632989
1561939620000,0,0.5,3.3,52.54,24.07,49.26,28.69,45.85,41.05,69.2,73.06,77.67,67.21,74.95,25.97,25.44,21.17,0,46.70712546
1561939680000,0,0,4,52.47,23.99,49.14,28.49,45.74,41.05,73.22,71.85,77.78,67.65,74.9,25.95,25.46,21.17,0,46.70789606
1561939740000,0,1,4,52.5,23.56,49.27,28.82,45.87,41.06,74.86,70.69,77.49,70.1,74.81,25.95,25.46,21.18,0,46.70838266
1561939800000,0,0.5,4,52.42,23.6,49.22,30.19,45.99,41.12,72.08,69.31,77.47,71.39,74.97,26,25.48,21.2,0,46.7076304
1561939860000,0,0,4,52.44,23.72,49.35,31.48,46.07,41.05,70.84,68.15,77.71,70.69,75.09,25.91,25.37,21.12,0,46.70979927
1561939920000,0,0,4,52.54,23.78,49.74,31.98,45.84,41.11,70.9,67.54,77.31,70.19,74.78,25.87,25.39,21.05,0,46.70784818
1561939980000,0,0,4,52.45,24.02,49.64,32.95,45.89,40.92,72.42,67.61,77.53,70.33,74.89,25.87,25.37,21.06,0,46.70790041
1561940040000,0,0,4.9,52.6,24.47,49.57,33.32,45.83,41.04,71.01,68.18,77.46,70.49,74.99,25.95,25.38,21.16,0,46.70727221
1561940100000,0,2,6,52.53,24.36,49.53,33.5,45.9,41.14,69.66,69.32,77.8,70.59,75.09,25.87,25.37,21.07,0,46.70747012
1561940160000,0,1,6,52.55,23.8,49.44,32.92,45.92,41.03,71.68,70.55,77.51,71.21,74.96,26.01,25.57,21.19,0,46.70681464
1561940220000,0,0,6,52.47,24.09,49.55,32.18,45.82,40.94,76.63,71.93,77.54,71.93,74.92,25.88,25.26,21.08,0,46.70603708
1561940280000,0,0,6,52.6,23.83,49.55,31.42,45.91,41.08,75.76,72.8,77.65,71.23,74.98,25.94,25.5,21.11,0,46.70641969
1561940340000,0,0,6.3,52.58,23.83,49.63,30.75,45.82,41.03,73.8,73.63,77.5,69.54,75.02,25.95,25.3,21.14,0,46.70670474
1561940400000,0,0,7,52.64,23.88,49.73,30.24,45.83,41.07,73.34,74.21,77.49,68.59,75.03,25.93,25.42,21.12,0,46.7060823
1561940460000,0,1,7,52.66,24.45,49.64,30.1,45.84,41.1,74.03,74.15,78.03,68.67,75.2,25.89,25.36,21.11,0,46.70694181
1561940520000,0,0.5,7,52.65,23.92,49.42,30.31,45.94,41.23,73.15,73.49,77.6,69.64,74.97,25.95,25.38,21.17,0,46.31621526
1561940580000,0,0,7,52.73,24.04,49.56,30.84,45.81,41.24,71.18,72.31,77.72,70.71,74.96,25.94,25.45,21.13,0,46.31649673
1561940640000,0,0,7,52.71,23.94,49.45,31.63,45.87,41.08,72.81,71.05,77.5,71.17,74.9,25.94,25.44,21.13,0,46.31630539
1561940700000,0,0,7,52.62,24.07,49.54,32.92,45.8,41.08,72.9,69.88,77.58,70.72,74.96,25.85,25.3,21.05,0,46.31628716
